id,title,author,date,category,text,label,input_text
1802,This trick will make you rich overnight,Vikram Jones,2021-09-05,Entertainment,"Breaking: secret nano-pills reverse aging overnight — insiders confirm. Unbelievable: eating this fruit will cure all chronic diseases, says unknown blog. Viral video shows politician cloned in a lab; footage goes viral with millions of views. The team celebrated a narrow victory after an intense and competitive match. New law supposedly forces citizens to replace all home electronics next year. New law supposedly forces citizens to replace all home electronics next year. Scientists discovered a new method to increase battery longevity by optimizing chemistry.",1,"this trick will make you rich overnight. breaking secret nanopills reverse aging overnight  insiders confirm. unbelievable eating this fruit will cure all chronic diseases, says unknown blog. viral video shows politician cloned in a lab footage goes viral with millions of views. the team celebrated a narrow victory after an intense and competitive match. new law supposedly forces citizens to replace all home electronics next year. new law supposedly forces citizens to replace all home electronics next year. scientists discovered a new method to increase battery longevity by optimizing chemistry."
1191,Government announces new support for small enterprises,Emily Patel,2023-05-16,Technology,Scientists discovered a new method to increase battery longevity by optimizing chemistry. Doctors recommend regular checkups and a balanced diet to improve public health. A spokesperson said the company will roll out the update in phases to all users. The team celebrated a narrow victory after an intense and competitive match. The new regulation aims to support small businesses and entrepreneurs nationwide. The new regulation aims to support small businesses and entrepreneurs nationwide.,0,government announces new support for small enterprises. scientists discovered a new method to increase battery longevity by optimizing chemistry. doctors recommend regular checkups and a balanced diet to improve public health. a spokesperson said the company will roll out the update in phases to all users. the team celebrated a narrow victory after an intense and competitive match. the new regulation aims to support small businesses and entrepreneurs nationwide. the new regulation aims to support small businesses and entrepreneurs nationwide.
1818,How to double money with one strange hack,Priya Verma,2018-12-26,Sports,"Post claims the moon is hollow and used as a base by hidden elites. Viral video shows politician cloned in a lab; footage goes viral with millions of views. Unbelievable: eating this fruit will cure all chronic diseases, says unknown blog. Miracle device removes debt instantly when installed on your phone, advertises site. The national budget included provisions for education and research funding.",1,"how to double money with one strange hack. post claims the moon is hollow and used as a base by hidden elites. viral video shows politician cloned in a lab footage goes viral with millions of views. unbelievable eating this fruit will cure all chronic diseases, says unknown blog. miracle device removes debt instantly when installed on your phone, advertises site. the national budget included provisions for education and research funding."
252,Researchers find promising cancer treatment,Emily Jones,2021-09-06,Health,The new regulation aims to support small businesses and entrepreneurs nationwide. Local authorities organized a relief camp for the affected families after the storm. A spokesperson said the company will roll out the update in phases to all users. Local authorities organized a relief camp for the affected families after the storm. Experts say the measure could help reduce unemployment over the next quarter. A spokesperson said the company will roll out the update in phases to all users.,0,researchers find promising cancer treatment. the new regulation aims to support small businesses and entrepreneurs nationwide. local authorities organized a relief camp for the affected families after the storm. a spokesperson said the company will roll out the update in phases to all users. local authorities organized a relief camp for the affected families after the storm. experts say the measure could help reduce unemployment over the next quarter. a spokesperson said the company will roll out the update in phases to all users.
2506,This trick will make you rich overnight,Arjun Verma,2019-06-01,Science,Researchers at the university published a peer-reviewed paper revealing the findings. Viral video shows politician cloned in a lab; footage goes viral with millions of views. Anonymous source claims world leaders are controlled by ancient AI hidden underground. The team celebrated a narrow victory after an intense and competitive match. New law supposedly forces citizens to replace all home electronics next year.,1,this trick will make you rich overnight. researchers at the university published a peerreviewed paper revealing the findings. viral video shows politician cloned in a lab footage goes viral with millions of views. anonymous source claims world leaders are controlled by ancient ai hidden underground. the team celebrated a narrow victory after an intense and competitive match. new law supposedly forces citizens to replace all home electronics next year.
1118,Education ministry announces scholarship scheme,Neha Jones,2019-03-24,Sports,"A spokesperson said the company will roll out the update in phases to all users. Researchers at the university published a peer-reviewed paper revealing the findings. Experts say the measure could help reduce unemployment over the next quarter. In a recent interview, officials provided additional context on the initiative.",0,"education ministry announces scholarship scheme. a spokesperson said the company will roll out the update in phases to all users. researchers at the university published a peerreviewed paper revealing the findings. experts say the measure could help reduce unemployment over the next quarter. in a recent interview, officials provided additional context on the initiative."
1412,Government announces new support for small enterprises,Barbara Wilson,2019-01-15,Health,The ministry confirmed the policy will be implemented from next month. The new regulation aims to support small businesses and entrepreneurs nationwide. A spokesperson said the company will roll out the update in phases to all users. Local authorities organized a relief camp for the affected families after the storm. Scientists discovered a new method to increase battery longevity by optimizing chemistry. Researchers at the university published a peer-reviewed paper revealing the findings.,0,government announces new support for small enterprises. the ministry confirmed the policy will be implemented from next month. the new regulation aims to support small businesses and entrepreneurs nationwide. a spokesperson said the company will roll out the update in phases to all users. local authorities organized a relief camp for the affected families after the storm. scientists discovered a new method to increase battery longevity by optimizing chemistry. researchers at the university published a peerreviewed paper revealing the findings.
2114,Scientists admit to time travel experiments,Neha Williams,2023-05-07,Sports,"Startup claims to have built a perpetual energy device that breaks physics laws. Startup claims to have built a perpetual energy device that breaks physics laws. Unbelievable: eating this fruit will cure all chronic diseases, says unknown blog. Post claims the moon is hollow and used as a base by hidden elites.",1,"scientists admit to time travel experiments. startup claims to have built a perpetual energy device that breaks physics laws. startup claims to have built a perpetual energy device that breaks physics laws. unbelievable eating this fruit will cure all chronic diseases, says unknown blog. post claims the moon is hollow and used as a base by hidden elites."
409,Education ministry announces scholarship scheme,Ishita Singh,2023-10-31,Sports,"Experts say the measure could help reduce unemployment over the next quarter. The team celebrated a narrow victory after an intense and competitive match. Doctors recommend regular checkups and a balanced diet to improve public health. Scientists discovered a new method to increase battery longevity by optimizing chemistry. Researchers at the university published a peer-reviewed paper revealing the findings. In a recent interview, officials provided additional context on the initiative. The ministry confirmed the policy will be implemented from next month.",0,"education ministry announces scholarship scheme. experts say the measure could help reduce unemployment over the next quarter. the team celebrated a narrow victory after an intense and competitive match. doctors recommend regular checkups and a balanced diet to improve public health. scientists discovered a new method to increase battery longevity by optimizing chemistry. researchers at the university published a peerreviewed paper revealing the findings. in a recent interview, officials provided additional context on the initiative. the ministry confirmed the policy will be implemented from next month."
2580,Miracle cure banned by pharmaceutical companies,Priya Rao,2019-02-22,Science,"Researchers at the university published a peer-reviewed paper revealing the findings. Breaking: secret nano-pills reverse aging overnight — insiders confirm. Local authorities organized a relief camp for the affected families after the storm. Miracle device removes debt instantly when installed on your phone, advertises site.",1,"miracle cure banned by pharmaceutical companies. researchers at the university published a peerreviewed paper revealing the findings. breaking secret nanopills reverse aging overnight  insiders confirm. local authorities organized a relief camp for the affected families after the storm. miracle device removes debt instantly when installed on your phone, advertises site."
